1	2	3	4	5	6	0	8	9	10	11	12	13	14	15	2578.25
1	0	-4	7	4	15	1	12	1	7	1	11	-23	-66	-5	-107.8
5	1	4	5	1	5	-1	6	25	5	4	1	3	1	2	1882.05
6	1	0	-1	-3	0	22	60	3	48	5	2	2	2	5	1294.85
8	5	5	2	5	-22	12	2	4	32	6	55	15	5	1	1332.25
-9	8	6	-11	11	6	7	-2	5	56	3	1	-5	8	-1	1081.55
-2	44	3	5	15	-11	0	-11	6	0	1	60	-7	-3	0	1094.75
-3	65	8	3	-1	1	56	3	8	2	0	65	6	5	56	3439.95
5	2	11	1	-3	26	6	55	2	5	2	-1	2	7	3	1771.85
4	3	12	55	3	6	-2	5	11	22	-1	2	1	4	5	1770.15
11	65	0	-1	-8	0	-10	7	22	18	6	0	3	0	-7	1711.6
6	4	1	0	7	0	18	8	33	16	5	-8	5	9	-6	1954.35
8	8	4	5	45	1	9	6	44	58	-1	2	-1	1	2	2598.25
7	7	8	3	16	8	90	1	55	85	-10	-45	1	1	4	2155.8
77	1	1	6	-2	3	1	0	1	6	2	12	-12	-2	23	1204.9
